samples,AEM,dbMEM
AM-PW-A-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-99.3400016  -78.7593163   16.33572206]
AM-PW-B-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-99.60078898  19.73686356 -16.16607815]
AM-PW-C-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-4.20306534e-02  1.03563286e+02 -3.39747541e-01]
AM-PW-D-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[99.60134241 20.40241463 16.64752984]
AM-PW-E-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[ 99.86258489 -78.96749804 -16.47758352]
HM-PL-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-344.5710862  -200.25413792  119.07882164   -2.26967301   -2.93431742]
HM-PW-A-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[ 353.34078924 -120.2048989   155.05879574 -250.2922718   111.56232036]
HM-PW-B-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[ 421.88031991 -175.76759783  -42.3419943    -2.25669382  -43.33766066]
HM-PW-C-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[ 198.2542014  -109.82231122 -309.21362802  245.95486487  -61.1335068 ]
HM-PW-D-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-118.7705566  -136.3984051   380.61580844  252.85071852   47.42892119]
HM-PW-E-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-292.58615577 -135.73218201  -80.17669186 -239.5459433  -128.22986749]
HM-PW-F-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-238.86008362   20.31321218 -313.18499299    0.44743249  108.55254823]
HM-PW-G-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[-28.50281507 435.43540467 -41.91461366  -2.220591   133.63029712]
HM-PW-H-Aut,"[ 1.03843942  0.35380085  0.0136191  -0.20406615  0.24419648  0.24047701
  0.14242111 -0.18311958 -0.10545565]",[  71.68941938  428.88911417  155.58725411   -2.31764863 -169.82607586]
AM-PW-A-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-99.3400016  -78.7593163   16.33572206]
AM-PW-B-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-99.60078898  19.73686356 -16.16607815]
AM-PW-C-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-4.20306534e-02  1.03563286e+02 -3.39747541e-01]
AM-PW-D-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[99.60134241 20.40241463 16.64752984]
AM-PW-E-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[ 99.86258489 -78.96749804 -16.47758352]
HM-PL-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-344.5710862  -200.25413792  119.07882164   -2.26967301   -2.93431742]
HM-PW-A-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[ 353.34078924 -120.2048989   155.05879574 -250.2922718   111.56232036]
HM-PW-B-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[ 421.88031991 -175.76759783  -42.3419943    -2.25669382  -43.33766066]
HM-PW-C-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[ 198.2542014  -109.82231122 -309.21362802  245.95486487  -61.1335068 ]
HM-PW-D-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-118.7705566  -136.3984051   380.61580844  252.85071852   47.42892119]
HM-PW-E-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-292.58615577 -135.73218201  -80.17669186 -239.5459433  -128.22986749]
HM-PW-F-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-238.86008362   20.31321218 -313.18499299    0.44743249  108.55254823]
HM-PW-G-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[-28.50281507 435.43540467 -41.91461366  -2.220591   133.63029712]
HM-PW-H-Win1,"[-0.06807027 -0.61805664 -0.11774543  0.30245642  0.13219503  0.22627746
 -0.03254694  0.22856876 -0.13023449]",[  71.68941938  428.88911417  155.58725411   -2.31764863 -169.82607586]
AM-PW-A-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-99.3400016  -78.7593163   16.33572206]
AM-PW-B-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-99.60078898  19.73686356 -16.16607815]
AM-PW-C-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-4.20306534e-02  1.03563286e+02 -3.39747541e-01]
AM-PW-D-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[99.60134241 20.40241463 16.64752984]
AM-PW-E-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[ 99.86258489 -78.96749804 -16.47758352]
HM-PL-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-344.5710862  -200.25413792  119.07882164   -2.26967301   -2.93431742]
HM-PW-A-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[ 353.34078924 -120.2048989   155.05879574 -250.2922718   111.56232036]
HM-PW-B-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[ 421.88031991 -175.76759783  -42.3419943    -2.25669382  -43.33766066]
HM-PW-C-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[ 198.2542014  -109.82231122 -309.21362802  245.95486487  -61.1335068 ]
HM-PW-D-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-118.7705566  -136.3984051   380.61580844  252.85071852   47.42892119]
HM-PW-E-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-292.58615577 -135.73218201  -80.17669186 -239.5459433  -128.22986749]
HM-PW-F-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-238.86008362   20.31321218 -313.18499299    0.44743249  108.55254823]
HM-PW-G-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[-28.50281507 435.43540467 -41.91461366  -2.220591   133.63029712]
HM-PW-H-Win2,"[-1.3111281   0.59108393  0.40327672  0.26958216  0.21250278 -0.14051223
  0.10298594  0.02314681 -0.00198982]",[  71.68941938  428.88911417  155.58725411   -2.31764863 -169.82607586]
